TeamId,TeamName,SubmissionDate,Score
7998068,NS1425,"2022-01-13 12:24:20",1.00000
7998507,"Team 2359","2022-01-13 16:31:28",1.00000
8018160,leigest,"2022-01-18 12:48:38",1.00000
8014051,"Lo Chun Hei","2022-01-19 11:17:14",1.00000
8009095,TOMtomTOM,"2022-01-19 14:59:04",1.00000
7998536,team93,"2022-01-13 13:44:16",0.96875
8005502,Team6684,"2022-01-15 08:33:21",0.96875
7997464,TCLau953,"2022-01-16 06:48:52",0.96875
8009834,"Fat Goose","2022-01-16 14:51:40",0.96875
8012100,Cheungkl,"2022-01-17 14:46:42",0.96875
8023418,Tatoe,"2022-01-19 02:51:43",0.96875
8027772,Wilson_CUHK,"2022-01-20 04:14:22",0.96875
8031130,hncheung852,"2022-01-20 10:37:03",0.96875
7997066,Baseline,"2022-01-13 05:53:02",0.93750
7997926,"John Yeung-dojjy","2022-01-13 10:54:45",0.93750
7998059,polaris,"2022-01-14 09:12:36",0.93750
7996996,lctest,"2022-01-14 16:48:06",0.93750
8008692,T9.304,"2022-01-16 08:52:29",0.93750
8010617,bananaclh,"2022-01-16 16:55:06",0.93750
7998051,S1155133928,"2022-01-17 07:56:48",0.93750
8012486,"Chong Tsz Wing","2022-01-17 10:17:13",0.93750
8012519,"Kwok Lam Him","2022-01-18 02:54:25",0.93750
8015881,"Kwok Chun Kiu","2022-01-18 02:56:33",0.93750
8018178,ckykenny,"2022-01-19 17:29:59",0.93750
8027844,tlkok21,"2022-01-19 20:07:08",0.93750
8029190,HồChíMinh,"2022-01-20 02:24:42",0.93750
8030075,"Wong Tin Wang David","2022-01-20 09:49:44",0.93750
